n,threads,version,total_primes,time_seconds
1000000,7,parallel_no_reduction,70261,0.039117
1000000,7,parallel_reduction,78498,0.038255
1000000,8,sequential,78498,0.144729
1000000,8,parallel_no_reduction,70605,0.034111
1000000,8,parallel_reduction,78498,0.030646
5000000,1,sequential,348513,1.368611
5000000,1,parallel_no_reduction,348513,1.365288
5000000,1,parallel_reduction,348513,1.363900
5000000,2,sequential,348513,1.366100
5000000,2,parallel_no_reduction,347713,0.873703
5000000,2,parallel_reduction,348513,0.878107
5000000,3,sequential,348513,1.379246
5000000,3,parallel_no_reduction,346332,0.633674
5000000,3,parallel_reduction,348513,0.628395
5000000,4,sequential,348513,1.383969
5000000,4,parallel_no_reduction,344741,0.497076
5000000,4,parallel_reduction,348513,0.488853
5000000,5,sequential,348513,1.401955
5000000,5,parallel_no_reduction,340841,0.410187
5000000,5,parallel_reduction,348513,0.453964
5000000,6,sequential,348513,1.399747
5000000,6,parallel_no_reduction,336708,0.359628
5000000,6,parallel_reduction,348513,0.357187
5000000,7,sequential,348513,1.463605
5000000,7,parallel_no_reduction,335287,0.365111
5000000,7,parallel_reduction,348513,0.336450
5000000,8,sequential,348513,1.448625
5000000,8,parallel_no_reduction,333028,0.315225
5000000,8,parallel_reduction,348513,0.343277
9999999,1,sequential,664579,3.713285
9999999,1,parallel_no_reduction,664579,3.749309
9999999,1,parallel_reduction,664579,3.729382
9999999,2,sequential,664579,3.728882
9999999,2,parallel_no_reduction,663474,2.346483
9999999,2,parallel_reduction,664579,2.352787
9999999,3,sequential,664579,3.710364
9999999,3,parallel_no_reduction,661631,1.679169
9999999,3,parallel_reduction,664579,1.676741
9999999,4,sequential,664579,3.720761
9999999,4,parallel_no_reduction,659593,1.297373
9999999,4,parallel_reduction,664579,1.298930
9999999,5,sequential,664579,3.712253
9999999,5,parallel_no_reduction,653928,1.084439
9999999,5,parallel_reduction,664579,1.086030
9999999,6,sequential,664579,3.713442
9999999,6,parallel_no_reduction,647754,0.982406
9999999,6,parallel_reduction,664579,0.961483
9999999,7,sequential,664579,3.711030
9999999,7,parallel_no_reduction,642102,0.879932
9999999,7,parallel_reduction,664579,0.879011
9999999,8,sequential,664579,3.706695
9999999,8,parallel_no_reduction,638681,0.816432
9999999,8,parallel_reduction,664579,0.808438
